ensembl_gene_id,symbol,logFC,t,P.Value,p.adj
ENSG00000243404,RPL35AP32,0.613237217,0.878687702,0.385535509,0.623512375903134
ENSG00000243406,MRPS31P5,0.807421606,1.221474354,0.230032512,0.461750717056143
ENSG00000243417,RP11-555K12.1,-1.8450996,-2.029083794,0.050073167,0.168542363784916
ENSG00000243422,RPL23AP49,1.851406249,1.718732656,0.094456648,0.260589624311877
ENSG00000243440,AF165138.7,1.340833627,1.761269883,0.08688675,0.245982642860006
ENSG00000243449,C4orf48,-2.218555094,-4.733358585,3.55e-05,0.000636792907180385
ENSG00000243466,IGKV1-5,0.556215347,0.604188412,0.549596882,0.752486132072755
ENSG00000243468,INGX,0.865623587,0.901370584,0.373523725,0.613642318387989
ENSG00000243477,NAT6,0.100337929,0.137207187,0.891649633,0.950186897570879
ENSG00000243491,RP11-521D12.5,1.549384945,1.639335397,0.11006083,0.287987586225572
ENSG00000243547,HNRNPKP4,0.479318438,1.618471032,0.114497062,0.294953803172787
ENSG00000243554,AC004967.7,-0.53914571,-2.992075867,0.005039612,0.0311229938562387
ENSG00000243587,C6orf183,3.367125745,2.742509194,0.009526779,0.0504670462412723
ENSG00000243609,RPS2P44,-0.448366248,-0.412983076,0.682126472,0.83463650856409
ENSG00000243629,LINC00880,-2.015778355,-1.685456475,0.100756097,0.271944571779974
ENSG00000243646,IL10RB,0.073509932,0.339452799,0.736287717,0.867850188506329
ENSG00000243650,RN7SL834P,0.811903091,1.085812994,0.284949431,0.525855670520674
ENSG00000243660,ZNF487,1.485195749,5.033819188,1.43e-05,0.000299219101123595
ENSG00000243663,RPS4XP14,1.540493036,1.60622758,0.117167941,0.300002492160355
ENSG00000243667,WDR92,0.59614782,0.724150914,0.473763667,0.696492965069609
ENSG00000243678,NME1-NME2,-0.607919779,-1.859413597,0.071351896,0.215585505062657
ENSG00000243679,RP11-274B21.3,-0.190123813,-0.580671768,0.56516479,0.762092392156301
ENSG00000243696,RP5-966M1.6,-1.303074063,-2.375710114,0.023094448,0.0975845229537954
ENSG00000243701,LINC00883,2.677231546,2.197090411,0.034692951,0.130448807128304
ENSG00000243708,PLA2G4B,1.421220426,1.425099491,0.162944405,0.371871227320076
ENSG00000243716,NPIPB5,-0.118243384,-0.371368718,0.712591167,0.853922430430828
ENSG00000243725,TTC4,0.52521986,0.84710085,0.40266753,0.637453195676198
ENSG00000243746,EEF1A1P10,0.215555879,0.178624479,0.859257731,0.933539889659772
ENSG00000243753,HLA-L,0.108426381,0.235621503,0.81509328,0.911881763993666
ENSG00000243759,ST13P15,-1.574917144,-1.724810635,0.09334234,0.258884082710533
ENSG00000243772,KIR2DL3,10.60275263,9.867956996,1.14e-11,1.11204285714286e-08
ENSG00000243795,RP11-572M11.3,0.400378132,0.498717726,0.621083725,0.79597723389796
ENSG00000243797,CTB-111H14.1,0.360469952,0.367209783,0.715663287,0.856223353422974
ENSG00000243811,APOBEC3D,0.252896652,0.912077967,0.367938442,0.608631264186047
ENSG00000243819,RN7SL832P,-0.28243415,-0.350514512,0.728043683,0.862478304779956
ENSG00000243836,WDR86-AS1,-4.308449795,-3.760697512,0.000617048,0.00617581219589643
ENSG00000243838,PSMC1P7,2.143590901,2.541496457,0.01560039,0.0730956059354986
ENSG00000243871,RN7SL487P,-0.045591201,-0.062992041,0.95012955,0.978312707706825
ENSG00000243910,TUBA4B,0.045577938,0.062923763,0.950183531,0.978312707706825
ENSG00000243926,TIPARP-AS1,-0.768647901,-1.885136751,0.06769618,0.207691515246368
ENSG00000243927,MRPS6,0.192212501,0.85917527,0.396063122,0.632669452134279
ENSG00000243939,RP11-200A13.1,-0.131854807,-0.167251156,0.868130552,0.937857523347748
ENSG00000243943,ZNF512,0.424296955,0.920877392,0.363389225,0.605254758445809
ENSG00000243954,RN7SL743P,1.913414762,1.857813188,0.071584817,0.215853354201619
ENSG00000243960,RP11-552M11.4,-0.373703609,-0.444714932,0.659251061,0.821407334382641
ENSG00000243964,RPL23AP65,-1.269313309,-2.335072057,0.025372008,0.104318240719446
